transaction_id,sender_account,amount,sender_avg_amount,sender_max_amount,amount_to_sender_avg,amount_z_score,amount_deviation_from_baseline_30d,tx_frequency_7d,tx_frequency_30d,frequency_change_vs_avg_7d,sender_tx_count_24h,sender_volume_24h,same_day_count,rapid_transfer_count,is_new_recipient,unique_recipients_7d,hour,is_off_hours,counterparty_change_score_7d
1,ACC000001,4401.91,18854.744166666667,93243.54,0.23346431863987546,-0.49286837093560887,-0.49286837093560887,7,24,0.19999999999999996,0,0.0,0,0,0.0,6,13,0.0,0.95
2,ACC000001,3057.19,17014.163333333334,93243.54,0.17968500361169684,-0.4960337914432386,-0.4960337914432386,9,27,0.3857142857142858,1,1272.72,0,0,1.0,8,8,1.0,0.9375
3,ACC000001,4329.99,13268.839268292684,93243.54,0.3263277150660025,-0.36174709483958817,-0.36174709483958817,15,41,0.7761904761904761,1,3101.9,0,0,1.0,14,12,0.0,1.0
4,ACC000001,61103.87,14398.52,74203.24,4.243760469826065,1.9251927064427252,1.9251927064427252,10,10,1.0952380952380953,3,82980.46,3,0,1.0,10,14,0.0,0.0
5,ACC000001,2591.18,15119.660967741935,93243.54,0.1713781813976073,-0.4689300012624355,-0.4689300012624355,12,31,0.6809523809523808,2,3731.6400000000003,0,0,1.0,11,13,0.0,0.9411764705882353
6,ACC000001,1964.95,14728.1459375,93243.54,0.13341462043752242,-0.4837000213402858,-0.4837000213402858,13,32,0.7904761904761906,3,6322.82,1,0,1.0,12,14,0.0,0.9444444444444444
7,ACC000001,3157.73,18644.46090909091,74203.24,0.16936558345113173,-0.5790383323893494,-0.5790383323893494,11,11,1.2047619047619047,4,144084.33000000002,4,0,1.0,11,17,1.0,0.0
8,ACC000001,5079.26,8087.8375,48819.1,0.6280121231416927,-0.19504430103266746,-0.19504430103266746,8,8,0.8761904761904762,2,4798.89,1,0,1.0,8,10,0.0,0.0
9,ACC000001,2739.73,13611.68857142857,93243.54,0.2012777463738623,-0.4264692292035579,-0.4264692292035579,11,35,0.40476190476190466,1,1007.02,0,0,1.0,11,10,0.0,1.0
10,ACC000001,1201.22,11740.518,48819.1,0.10231405462689125,-0.5680352435095078,-0.5680352435095078,5,5,0.5476190476190477,4,56824.369999999995,3,0,1.0,5,15,0.0,0.0
11,ACC000001,2009.03,18344.275294117648,86183.28,0.10951809040089057,-0.579427197894464,-0.579427197894464,16,17,1.719047619047619,0,0.0,0,0,1.0,15,14,0.0,1.0
12,ACC000001,1193.92,18276.6308,93243.54,0.06532495037323838,-0.5916969312521219,-0.5916969312521219,7,25,0.16666666666666663,0,0.0,0,0,1.0,6,16,0.0,0.9375
13,ACC000001,2110.17,16033.71896551724,93243.54,0.13160826908206488,-0.5083887860890653,-0.5083887860890653,10,29,0.46190476190476193,2,5595.4400000000005,2,0,1.0,9,15,0.0,0.9375
14,ACC000001,3443.81,11685.073750000001,93243.54,0.29471872182235903,-0.35584574113924067,-0.35584574113924067,14,48,0.3999999999999999,3,5349.77,3,0,1.0,13,15,0.0,0.9565217391304348
15,ACC000001,1614.78,12124.989565217391,93243.54,0.13317784657170123,-0.44611538355914354,-0.44611538355914354,12,46,0.18095238095238075,2,4854.08,1,0,1.0,11,11,0.0,0.9545454545454546
16,ACC000001,8713.01,18946.229375,86183.28,0.4598809519057668,-0.3534360205972951,-0.3534360205972951,15,16,1.6095238095238096,3,91266.23,2,0,1.0,14,13,0.0,1.0
17,ACC000001,985.36,11516.884693877551,93243.54,0.08555785928149681,-0.45885577400576344,-0.45885577400576344,14,49,0.3666666666666667,0,0.0,0,0,1.0,14,16,0.0,0.9130434782608696
18,ACC000001,86183.28,15342.307142857144,74203.24,5.617361143765395,2.887157873289634,2.887157873289634,13,14,1.3904761904761904,1,2918.86,0,0,1.0,12,10,0.0,1.0
19,ACC000001,3101.9,13523.01275,93243.54,0.22937935927036673,-0.41744240442791747,-0.41744240442791747,15,40,0.8095238095238095,1,2992.29,1,0,0.0,15,14,0.0,1.0
20,ACC000001,2164.09,20065.038666666667,86183.28,0.10785376674081,-0.6054510938340739,-0.6054510938340739,14,15,1.5,2,89102.14,1,0,1.0,13,12,0.0,1.0
21,ACC000001,54656.66,12999.50945945946,93243.54,4.2045171143152285,1.6711989046003253,1.6711989046003253,13,37,0.6238095238095238,2,4572.75,2,0,1.0,13,17,1.0,1.0
22,ACC000001,2289.71,14095.750263157895,93243.54,0.16243973944293139,-0.4632690170585334,-0.4632690170585334,14,38,0.7333333333333334,2,56489.68,0,0,1.0,14,11,0.0,1.0
23,ACC000001,1571.04,2770.816666666667,3688.4,0.5669952901972342,-1.623043605448968,-1.623043605448968,3,3,0.3285714285714285,2,6434.23,1,0,1.0,3,14,0.0,0.0
24,ACC000001,2136.46,14341.382424242423,93243.54,0.1489716916263641,-0.46805787913544267,-0.46805787913544267,13,33,0.7571428571428571,2,4556.13,0,0,1.0,13,8,1.0,0.9444444444444444
25,ACC000001,48819.1,2470.8725,3688.4,19.757838577263698,56.21674311777254,56.21674311777254,4,4,0.4380952380952381,3,8005.27,2,0,1.0,4,15,0.0,0.0
26,ACC000001,2745.83,1878.22,1878.22,1.4619320420398036,0.0,0.0,1,1,0.10952380952380952,0,0.0,0,0,1.0,1,16,0.0,0.0
27,ACC000001,2638.33,12565.805454545452,93243.54,0.20996107329081973,-0.4137155036173038,-0.4137155036173038,13,44,0.39047619047619064,0,0.0,0,0,1.0,11,12,0.0,1.0
28,ACC000001,3626.64,17353.9,74203.24,0.20898126645883633,-0.5287394619407458,-0.5287394619407458,12,12,1.314285714285714,1,3157.73,0,0,1.0,12,14,0.0,0.0
29,ACC000001,1007.02,13982.414117647058,93243.54,0.07202046739046661,-0.5034691788616797,-0.5034691788616797,11,34,0.4380952380952381,0,0.0,0,0,1.0,11,15,0.0,0.9473684210526316
30,ACC000001,1833.02,13309.689722222223,93243.54,0.13772071612905742,-0.4554269579938163,-0.4554269579938163,12,36,0.5142857142857142,1,2739.73,1,0,1.0,12,16,0.0,1.0
31,ACC000001,3688.4,2312.025,2745.83,1.5953114693829002,3.172796533004461,3.172796533004461,2,2,0.21904761904761905,1,2745.83,0,0,1.0,2,8,1.0,0.0
32,ACC000001,1519.24,11901.368085106384,93243.54,0.1276525512979645,-0.44450296540934825,-0.44450296540934825,13,47,0.29047619047619055,2,3830.5299999999997,2,0,1.0,12,14,0.0,0.9545454545454546
33,ACC000001,2833.98,22094.626,93243.54,0.12826557915033276,-0.6187845818763359,-0.6187845818763359,8,20,0.47619047619047616,1,93243.54,0,0,1.0,7,13,0.0,0.9444444444444444
34,ACC000001,93243.54,18349.94631578947,86183.28,5.081406691624339,2.7542524125130323,2.7542524125130323,7,19,0.3666666666666667,0,0.0,0,0,0.0,7,17,1.0,0.9444444444444444
35,ACC000001,34787.27,17436.76166666667,86183.28,1.9950533628329492,0.6274574669511883,0.6274574669511883,11,18,0.9714285714285714,0,0.0,0,0,1.0,10,15,0.0,1.0
36,ACC000001,2918.86,16297.956923076923,74203.24,0.17909361362141477,-0.5306955709419695,-0.5306955709419695,13,13,1.4238095238095239,0,0.0,0,0,0.0,13,15,0.0,0.0
37,ACC000001,2947.39,12789.489534883722,93243.54,0.23045407652595548,-0.4062295445504997,-0.4062295445504997,17,43,0.995238095238095,3,9027.54,2,0,1.0,15,12,0.0,1.0
38,ACC000001,2077.44,20335.67409090909,93243.54,0.10215742004484149,-0.604681687900517,-0.604681687900517,9,22,0.5523809523809525,2,5492.3099999999995,1,0,1.0,8,13,0.0,0.95
39,ACC000001,3697.96,8714.962857142857,48819.1,0.42432309358256426,-0.30601842830920917,-0.30601842830920917,7,7,0.7666666666666666,1,1100.93,0,0,1.0,7,8,1.0,0.0
40,ACC000001,1621.47,15569.600666666667,93243.54,0.10414332613369102,-0.5157756969119878,-0.5157756969119878,11,30,0.5714285714285714,3,7705.610000000001,3,0,1.0,10,15,0.0,0.9411764705882353
41,ACC000001,2215.75,12345.19488888889,93243.54,0.17948278823805797,-0.42609277608010204,-0.42609277608010204,11,45,0.0714285714285714,1,2638.33,0,0,1.0,10,10,0.0,0.9523809523809523
42,ACC000001,1878.22,1878.22,1878.22,1.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1.0,0,8,1.0,0.0
43,ACC000001,1100.93,9983.968333333332,48819.1,0.1102697808369785,-0.510906383939579,-0.510906383939579,6,6,0.657142857142857,3,51591.36,0,0,1.0,6,13,0.0,0.0
44,ACC000001,3051.59,19541.837826086958,93243.54,0.15615675593860193,-0.5540167354748426,-0.5540167354748426,10,23,0.6619047619047619,2,4735.77,0,0,0.0,9,9,0.0,0.95
45,ACC000001,1272.72,17619.603461538463,93243.54,0.0722331806602912,-0.5735742702196146,-0.5735742702196146,8,26,0.2761904761904761,1,1193.92,0,0,1.0,7,13,0.0,0.9375
46,ACC000001,74203.24,7753.55111111111,48819.1,9.570226459675254,4.559585308008083,4.559585308008083,9,9,0.9857142857142858,3,9878.15,2,0,1.0,9,11,0.0,0.0
47,ACC000001,1595.65,13056.009523809524,93243.54,0.12221575030947253,-0.46868264810159777,-0.46868264810159777,16,42,0.8857142857142857,2,7431.889999999999,1,0,0.0,15,12,0.0,1.0
48,ACC000001,2538.25,16515.7,93243.54,0.15368709773124964,-0.5036690363110272,-0.5036690363110272,10,28,0.49523809523809526,2,4329.91,1,0,1.0,9,12,0.0,0.9375
49,ACC000001,2658.33,21177.45238095238,93243.54,0.12552643028917773,-0.6041712958445834,-0.6041712958445834,8,21,0.44285714285714284,1,2833.98,0,0,1.0,7,9,0.0,0.9473684210526316
50,ACC000001,2992.29,13793.03128205128,93243.54,0.21694216005250666,-0.4281849244453138,-0.4281849244453138,14,39,0.7,1,2289.71,0,0,1.0,14,9,0.0,1.0
