transaction_id,customer_id,sender_account,receiver_account,amount,transaction_type,channel,timestamp,description,destination_country,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max,sender_tx_count_24h,sender_volume_24h,amount_to_sender_volume_24h,is_new_recipient,same_day_count,same_day_total,same_recipient_count,rapid_transfer_count
1,CUST00001,ACC000001,ACC243079,4229.51,deposit,mobile,2026-08-04T09:23:45.668857+00:00,Credit received via mobile,ZW,383.6977248919248,767.3954497838496,0,11.023026006190983,5.511513003095492,0,0,1.0,1.0,0,0,0,0
2,CUST00001,ACC000001,ACC131244,3597.35,withdraw,card,2026-08-14T13:11:45.668973+00:00,Cash withdrawal via card,ZW,4229.51,4229.51,1,0.8505358776785017,0.8505358776785017,0,0,3597.35,1.0,0,0,0,0
3,CUST00001,ACC000001,ACC731650,4418.25,withdraw,card,2026-08-30T10:46:00.669035+00:00,Debit via card,ZW,3913.4300000000003,4229.51,2,1.128996813536974,1.044624554617438,0,0,4418.25,1.0,0,0,0,0
4,CUST00001,ACC000001,ACC131244,4593.63,transfer,mobile,2026-08-05T15:09:21.669081+00:00,Transfer via mobile,ZW,4081.7033333333334,4418.25,3,1.1254198614793987,1.0396944491597353,2,8015.6,0.5730862318478966,1.0,0,0,1,0
5,CUST00001,ACC000001,ACC213282,1693.39,transfer,mobile,2026-08-20T08:16:13.669128+00:00,Transfer via mobile,ZW,4209.685,4593.63,4,0.40226050167649124,0.36863874539307695,1,4418.25,0.38327165733039104,1.0,0,0,0,0
6,CUST00001,ACC000001,ACC343962,2015.97,withdraw,mobile,2026-08-29T14:31:56.669168+00:00,Debit via mobile,ZW,3706.4260000000004,4593.63,5,0.5439121137181748,0.43886207639709773,1,4418.25,0.45628246477677814,0.0,0,0,0,0
7,CUST00001,ACC000001,ACC493696,2958.04,transfer,online,2026-08-09T08:18:01.669204+00:00,Transfer via online,ZW,3424.683333333333,4593.63,6,0.863741173149829,0.6439438962215067,4,11724.96,0.2522857220834869,0.0,0,0,1,0
8,CUST00001,ACC000001,ACC299212,1961.3,deposit,online,2026-08-12T08:27:41.669245+00:00,Credit received via online,ZW,3358.02,4593.63,7,0.5840644189135265,0.4269608131260027,4,11724.96,0.16727562396801354,1.0,0,0,0,0
9,CUST00001,ACC000001,ACC191884,2308.39,deposit,mobile,2026-08-27T09:03:25.670265+00:00,Credit received via mobile,ZW,3183.43,4593.63,8,0.7251266715460997,0.5025197937143392,2,6434.22,0.358767651712251,1.0,0,0,0,0
10,CUST00001,ACC000001,ACC329258,4389.86,deposit,mobile,2026-08-28T10:40:18.670337+00:00,Credit received via mobile,ZW,3086.2033333333334,4593.63,9,1.4224143796963042,0.9556407459895551,2,6434.22,0.682267625291022,1.0,0,0,0,0
11,CUST00001,ACC000001,ACC337232,1845.3,deposit,atm,2026-08-29T13:56:24.670381+00:00,Credit received via atm,ZW,3216.569,4593.63,10,0.5736858124293307,0.40170845279223616,2,6434.22,0.2867946697501795,0.0,1,2015.97,0,0
12,CUST00001,ACC000001,ACC343962,1946.83,withdraw,online,2026-09-01T13:51:34.670428+00:00,Debit via online,ZW,3091.9081818181817,4593.63,11,0.6296532385561255,0.42381079886712686,0,0,1946.83,1.0,0,0,0,0
13,CUST00001,ACC000001,ACC893969,3835.41,withdraw,branch,2026-08-19T12:05:25.670470+00:00,Cash withdrawal via branch,ZW,2996.485,4593.63,12,1.2799696978292898,0.8349409943769959,7,18617.989999999998,0.20600558921774048,0.0,0,0,2,0
14,CUST00001,ACC000001,ACC862422,988.57,withdraw,card,2026-09-02T14:05:43.670518+00:00,Cash withdrawal via card,ZW,3061.017692307692,4593.63,13,0.32295468349767037,0.21520453323406544,0,0,988.57,0.0,0,0,0,0
15,CUST00001,ACC000001,ACC647945,1228.95,transfer,card,2026-08-17T13:54:17.670560+00:00,Transfer via card,ZW,2912.9857142857145,4593.63,14,0.4218867239798145,0.26753351924295166,9,23441.97,0.052425201465576485,1.0,0,0,1,0
16,CUST00001,ACC000001,ACC198246,1182.41,deposit,mobile,2026-08-05T09:36:49.670619+00:00,Funds transfer in via mobile,ZW,2800.7166666666667,4593.63,15,0.42218122742393316,0.2574020981228353,14,37781.24,0.03129622002877619,1.0,1,4593.63,1,0
17,CUST00001,ACC000001,ACC151685,2074.3,deposit,atm,2026-08-22T10:39:38.670672+00:00,Funds transfer in via atm,ZW,2699.5724999999998,4593.63,16,0.7683809195715249,0.45156009517527534,7,17913.17,0.11579748308088408,1.0,0,0,0,0
18,CUST00001,ACC000001,ACC879850,3782.04,withdraw,branch,2026-08-25T12:53:31.670722+00:00,Funds transfer out via branch,ZW,2662.791764705882,4593.63,17,1.4203288631613085,0.8233227316958484,7,17913.17,0.21113180972435366,1.0,0,0,0,0
19,CUST00001,ACC000001,ACC133326,2447.75,withdraw,card,2026-08-28T15:13:58.670769+00:00,Cash withdrawal via card,ZW,2724.972222222222,4593.63,18,0.8982660373704116,0.5328574569566987,6,15604.779999999999,0.15685898807929366,0.0,1,4389.86,0,0
20,CUST00001,ACC000001,ACC131244,708.19,transfer,online,2026-08-30T16:56:36.670819+00:00,Transfer via online,ZW,2710.3815789473683,4593.63,19,0.26128793285078333,0.15416783676525972,3,7353.65,0.0963045562407784,1.0,1,4418.25,0,0
21,CUST00001,ACC000001,ACC490559,4114.26,transfer,card,2026-08-23T15:32:25.670863+00:00,Payment via card,ZW,2610.272,4593.63,20,1.576180566622942,0.8956446209207098,10,24851.149999999998,0.16555612114529913,0.0,0,0,1,0
22,CUST00001,ACC000001,ACC128783,1482.56,deposit,card,2026-08-16T16:22:22.670914+00:00,Cash deposit via card,ZW,2681.890476190476,4593.63,21,0.5528040809876473,0.3227425804864562,15,37797.46,0.03922379969447683,0.0,0,0,1,0
23,CUST00001,ACC000001,ACC238741,2296.58,transfer,card,2026-08-13T11:17:41.670966+00:00,Wire transfer via card,ZW,2627.3754545454544,4593.63,22,0.8740966183675172,0.49994884220104796,17,42877.37,0.05356158738280822,0.0,0,0,1,0
24,CUST00001,ACC000001,ACC810091,1238.06,deposit,online,2026-08-12T12:27:57.671023+00:00,Credit received via online,ZW,2612.993043478261,4593.63,23,0.47380914506835736,0.2695167003001983,19,47135.25,0.02626611718406076,1.0,1,1961.3,1,0
25,CUST00001,ACC000001,ACC452618,2297.45,deposit,online,2026-08-18T13:35:41.671080+00:00,Credit received via online,ZW,2555.704166666667,4593.63,24,0.8989498980222345,0.5001382349035511,15,37797.46,0.060783184901842605,1.0,0,0,0,0
26,CUST00001,ACC000001,ACC343962,2625.02,transfer,online,2026-08-14T12:12:09.671136+00:00,Payment via online,ZW,2545.374,4593.63,25,1.0312904901205089,0.5714478527874469,18,45174.82,0.05810803452011541,0.0,1,3597.35,1,0
27,CUST00001,ACC000001,ACC848021,1465.09,withdraw,branch,2026-08-25T12:58:26.671194+00:00,Debit via branch,ZW,2548.4373076923075,4593.63,26,0.5748974069629699,0.31893948794308635,10,24851.149999999998,0.05895461578236822,1.0,1,3782.04,2,1
28,CUST00001,ACC000001,ACC876909,3793.17,withdraw,online,2026-08-18T12:54:10.671254+00:00,Debit via online,ZW,2508.3133333333335,4593.63,27,1.512239300246912,0.825745652131321,17,41560.0,0.09126973051010587,0.0,1,2297.45,1,0
29,CUST00001,ACC000001,ACC714015,1435.42,deposit,mobile,2026-08-14T09:14:22.671315+00:00,Cash deposit via mobile,ZW,2554.2010714285716,4593.63,28,0.5619839471749832,0.3124805437094411,22,55354.68,0.02593132143479106,1.0,2,6222.37,1,0
30,CUST00001,ACC000001,ACC995735,3176.47,deposit,mobile,2026-08-19T11:32:07.671384+00:00,Cash deposit via mobile,ZW,2515.6224137931035,4593.63,29,1.2626974471937773,0.6914945261155121,17,44124.22,0.07198926122660071,1.0,1,3835.41,0,0
31,CUST00001,ACC000001,ACC285413,1340.28,transfer,mobile,2026-08-30T13:55:45.671451+00:00,Transfer via mobile,ZW,2537.650666666667,4593.63,30,0.5281578026500101,0.2917692543805226,6,11923.11,0.11241026879731882,0.0,2,5126.4400000000005,0,0
32,CUST00001,ACC000001,ACC764259,2452.74,transfer,online,2026-08-10T10:36:48.671507+00:00,Payment via online,ZW,2499.025806451613,4593.63,31,0.9814784599934425,0.5339437438365736,27,64506.21,0.03802331589470223,1.0,0,0,1,0
33,CUST00001,ACC000001,ACC809621,3687.87,deposit,card,2026-08-17T11:46:23.671576+00:00,Cash deposit via card,ZW,2497.579375,4593.63,32,1.4765776963544952,0.8028226043455828,21,51352.479999999996,0.07181483737494275,0.0,1,1228.95,0,0
34,CUST00001,ACC000001,ACC404955,1708.76,deposit,online,2026-08-25T10:06:24.671652+00:00,Credit received via online,ZW,2533.648787878788,4593.63,33,0.6744265456897054,0.371984683137301,12,27656.52,0.06178506912655678,1.0,2,5247.13,0,0
35,CUST00001,ACC000001,ACC237579,2066.12,deposit,branch,2026-08-24T15:22:48.671733+00:00,Cash deposit via branch,ZW,2509.3873529411762,4593.63,34,0.8233563453559147,0.44977936838622173,14,33479.54,0.061712914813047005,0.0,0,0,1,0
36,CUST00001,ACC000001,ACC976735,1790.18,withdraw,card,2026-08-22T12:49:34.671800+00:00,Debit via card,ZW,2496.7225714285714,4593.63,35,0.7170119822226373,0.3897092277784671,16,37619.96,0.04758590918225326,0.0,1,2074.3,1,0
37,CUST00001,ACC000001,ACC109756,3226.48,transfer,card,2026-08-31T16:16:30.671863+00:00,Wire transfer via card,ZW,2477.096388888889,4593.63,36,1.302525010521391,0.7023813411180265,3,3643.59,0.8855222459168018,0.0,0,0,0,0
38,CUST00001,ACC000001,ACC223453,937.94,transfer,card,2026-08-15T17:44:08.671917+00:00,Transfer via card,ZW,2497.35,4593.63,37,0.3755741085550684,0.20418274871942232,26,63831.89,0.014693909266982382,1.0,0,0,1,0
39,CUST00001,ACC000001,ACC674765,2264.68,deposit,mobile,2026-08-10T12:53:33.671987+00:00,Cash deposit via mobile,ZW,2456.3128947368423,4593.63,38,0.9219835163722604,0.4930044431092621,34,80376.3,0.02817596729384159,1.0,1,2452.74,1,0
40,CUST00001,ACC000001,ACC133326,3594.9,withdraw,online,2026-09-03T09:58:07.672066+00:00,Cash withdrawal via online,ZW,2451.3992307692306,4593.63,39,1.4664686008210697,0.7825837083091151,1,988.57,3.6364647925791798,1.0,0,0,0,0
41,CUST00001,ACC000001,ACC198246,1733.57,transfer,online,2026-08-25T12:29:03.672121+00:00,Payment via online,ZW,2479.98675,4593.63,40,0.6990238959946056,0.37738564055006607,16,38252.78,0.045318797744895924,1.0,3,6955.889999999999,2,0
42,CUST00001,ACC000001,ACC343962,1601.09,withdraw,mobile,2026-08-07T08:00:54.672189+00:00,Debit via mobile,ZW,2461.781463414634,4593.63,41,0.6503786074411313,0.3485457035068127,38,90927.49,0.017608426230615183,0.0,0,0,1,0
43,CUST00001,ACC000001,ACC329258,3606.14,deposit,card,2026-08-29T09:25:25.672271+00:00,Cash deposit via card,ZW,2441.2888095238095,4593.63,42,1.4771460000684649,0.7850305749483524,11,26922.38,0.1339458101401139,0.0,2,3861.27,2,0
44,CUST00001,ACC000001,ACC741018,3273.48,deposit,card,2026-08-04T10:06:26.672334+00:00,Funds transfer in via card,ZW,2468.3783720930232,4593.63,43,1.3261662138225199,0.7126129009084319,43,106140.27,0.030841074740058604,0.0,1,4229.51,2,0
45,CUST00001,ACC000001,ACC429502,1255.2,transfer,online,2026-08-19T15:07:56.672420+00:00,Wire transfer via online,ZW,2486.6761363636365,4593.63,44,0.5047701957020941,0.2732479542322738,24,60276.5,0.02082403590122187,0.0,2,7011.879999999999,0,0
